design,environment,experiment_id,trial_id,state,wall_seconds,env,coverage,sigma,policy,alpha,run,found,nominal_length,min_clearance,planner_cost,nodes,plan_time,realized_mean,realized_p95,realized_max,over_budget,hazard_rate
cvar0.1,easy-sigma0.01-seed0,121,121,TrialState.SUCCESSFUL|SHUT_DOWN,1.501337767,easy,0.08,0.01,cvar0.1,0.1,0,1,80.554627289,0.885277149,81.174493171,1315,0.874254057,80.906217257,82.433128113,86.64970972,0.0,0.3075
cvar0.1,easy-sigma0.01-seed1,122,122,TrialState.SUCCESSFUL|SHUT_DOWN,1.501087666,easy,0.08,0.01,cvar0.1,0.1,1,1,79.654434365,0.651163781,80.317890994,1312,0.919086964,80.130889003,82.240744679,84.608142292,0.0,0.4625
cvar0.1,easy-sigma0.01-seed2,123,123,TrialState.SUCCESSFUL|SHUT_DOWN,1.500989437,easy,0.08,0.01,cvar0.1,0.1,2,1,79.557679847,0.046110386,80.275153384,1285,0.86784791,80.235570118,82.729757969,89.102977793,0.0,0.51
cvar0.1,easy-sigma0.01-seed3,124,124,TrialState.SUCCESSFUL|SHUT_DOWN,1.502144337,easy,0.08,0.01,cvar0.1,0.1,3,1,80.023445996,1.05498065,80.464620804,1313,0.904499332,80.388257059,82.032909224,90.126085462,0.0,0.335
cvar0.1,easy-sigma0.01-seed4,125,125,TrialState.SUCCESSFUL|SHUT_DOWN,1.501674175,easy,0.08,0.01,cvar0.1,0.1,4,1,79.784236011,1.232808834,80.290868246,1298,0.877770534,80.069417122,81.529980916,85.378132702,0.0,0.235
cvar0.1,easy-sigma0.05-seed0,126,126,TrialState.SUCCESSFUL|SHUT_DOWN,1.501643419,easy,0.08,0.05,cvar0.1,0.1,0,1,80.608580981,0.885277149,83.556131433,1315,0.858642431,82.142274629,89.245238028,109.074740054,0.0,0.35
cvar0.1,easy-sigma0.05-seed1,127,127,TrialState.SUCCESSFUL|SHUT_DOWN,1.502144814,easy,0.08,0.05,cvar0.1,0.1,1,1,80.02962946,3.269989355,81.764921724,1312,0.938114698,80.915447344,86.19396328,96.494380306,0.0,0.2425
cvar0.1,easy-sigma0.05-seed2,128,128,TrialState.SUCCESSFUL|SHUT_DOWN,1.502066135,easy,0.08,0.05,cvar0.1,0.1,2,1,80.00224124,1.092144534,82.651186458,1285,0.869251052,82.042277322,89.070420275,113.021864704,0.0,0.5025
cvar0.1,easy-sigma0.05-seed3,129,129,TrialState.SUCCESSFUL|SHUT_DOWN,1.50172019,easy,0.08,0.05,cvar0.1,0.1,3,1,80.444787023,2.749943064,81.757969414,1313,0.917548025,81.354172323,87.287068661,108.892957812,0.0,0.2025
cvar0.1,easy-sigma0.05-seed4,130,130,TrialState.SUCCESSFUL|SHUT_DOWN,1.502546072,easy,0.08,0.05,cvar0.1,0.1,4,1,80.403561721,3.970187112,82.221025706,1298,0.889861486,81.300483172,87.760768537,99.041244264,0.0,0.1475
cvar0.1,easy-sigma0.1-seed0,131,131,TrialState.SUCCESSFUL|SHUT_DOWN,1.501578331,easy,0.08,0.1,cvar0.1,0.1,0,1,81.967035405,3.095560692,86.174980193,1315,0.868873057,83.579814322,92.626722781,112.648750167,0.0,0.255
cvar0.1,easy-sigma0.1-seed1,132,132,TrialState.SUCCESSFUL|SHUT_DOWN,1.501204967,easy,0.08,0.1,cvar0.1,0.1,1,1,80.457887338,3.269989355,83.767427888,1312,0.934078298,82.09824149,93.51963771,135.409227169,0.0025,0.2275
cvar0.1,easy-sigma0.1-seed2,133,133,TrialState.SUCCESSFUL|SHUT_DOWN,1.502161741,easy,0.08,0.1,cvar0.1,0.1,2,1,80.738783383,2.80067164,85.003575802,1285,0.87549307,83.941782932,96.689900603,163.646114681,0.0075,0.33
cvar0.1,easy-sigma0.1-seed3,134,134,TrialState.SUCCESSFUL|SHUT_DOWN,1.501885414,easy,0.08,0.1,cvar0.1,0.1,3,1,80.805324358,3.425641262,83.022501902,1313,0.92240261,82.27504664,92.682973375,127.632720053,0.0025,0.19
