env,sigma,policy,alpha,runs,success_rate,failure_rate,hazard_rate,mean_path_length,worst_case_p95,worst_case_max,mean_clearance,mean_plan_time
easy,0.01,cvar0.1,0.1,5,1.0,0.0,0.37,79.914884702,82.231201331,90.126085462,0.77406816,0.888691759
easy,0.01,cvar0.5,0.5,5,1.0,0.0,0.3445,79.980702618,81.929944617,86.634734557,1.228656426,0.921641104
easy,0.01,cvar0.9,0.9,5,1.0,0.0,0.246,80.608733335,82.149958967,86.263065607,2.927030056,0.854230891
easy,0.01,neutral,0.0,5,1.0,0.0,0.3975,79.866466879,82.348356654,88.676809259,0.576856392,0.522208785
easy,0.01,rrtstar,,5,1.0,0.0,0.4195,79.854133485,82.311217064,88.119617534,0.576856392,0.170768786
easy,0.05,cvar0.1,0.1,5,1.0,0.0,0.289,80.297760085,88.361475798,113.021864704,2.393508243,0.894683538
easy,0.05,cvar0.5,0.5,5,1.0,0.0,0.238,80.728371721,87.304315185,109.432520752,3.006637284,0.914853044
easy,0.05,cvar0.9,0.9,5,1.0,0.0,0.214,81.655904856,87.813849271,111.776122891,3.528063305,0.85640154
easy,0.05,neutral,0.0,5,1.0,0.0,0.3115,80.193659532,88.24244044,113.021864704,1.846032587,0.520687502
easy,0.05,rrtstar,,5,1.0,0.0005,0.4195,79.854133485,92.310651807,119.295627587,0.576856392,0.169856866
easy,0.1,cvar0.1,0.1,5,1.0,0.0035,0.235,80.878144789,93.45306717,163.646114681,3.312410012,0.897307544
easy,0.1,cvar0.5,0.5,5,1.0,0.0045,0.224,81.138620484,93.86590184,144.544615476,3.458412141,0.909487065
easy,0.1,cvar0.9,0.9,5,1.0,0.003,0.203,82.699678216,94.34327275,143.544618472,3.605681708,0.852604004
easy,0.1,neutral,0.0,5,1.0,0.005,0.2345,80.789358192,94.05153224,163.646114681,3.136946135,0.523709105
easy,0.1,rrtstar,,5,1.0,0.014,0.4195,79.854133485,105.054046539,158.731351842,0.576856392,0.170052882
easy,0.5,cvar0.1,0.1,5,1.0,0.0735,0.2105,82.143207002,135.603150604,327.695042389,3.605681708,0.896792366
easy,0.5,cvar0.5,0.5,5,1.0,0.078,0.205,82.380671056,138.715865163,333.018368364,3.605681708,0.906856934
easy,0.5,cvar0.9,0.9,5,1.0,0.0675,0.184,85.88975481,128.522457198,470.169948004,3.84554738,0.852522947
easy,0.5,neutral,0.0,5,1.0,0.078,0.2155,82.121723145,135.967384553,362.295642654,3.605681708,0.526073814
easy,0.5,rrtstar,,5,1.0,0.208,0.4195,79.854133485,205.993540212,474.217145885,0.576856392,0.17083643
hard,0.01,cvar0.1,0.1,5,1.0,0.0,0.702,80.891905321,84.583445866,88.988631782,0.20436743,0.677214799
hard,0.01,cvar0.5,0.5,5,1.0,0.0,0.6825,80.937093294,84.840496586,90.019769536,0.336047852,0.694203382
hard,0.01,cvar0.9,0.9,5,1.0,0.0,0.6215,81.777726853,84.892262308,91.179605446,0.749881989,0.656149314
hard,0.01,neutral,0.0,5,1.0,0.0,0.704,80.891602546,84.717745689,88.988631782,0.20436743,0.402092931
hard,0.01,rrtstar,,5,1.0,0.0,0.682,80.803343567,84.791063203,90.588058544,0.10339926,0.169947265
hard,0.05,cvar0.1,0.1,5,1.0,0.002,0.6495,81.603531761,96.916765788,124.045771422,0.657534317,0.717654013
hard,0.05,cvar0.5,0.5,5,1.0,0.002,0.6335,81.833589637,96.325744968,124.493247778,0.769208748,0.696435842
hard,0.05,cvar0.9,0.9,5,1.0,0.0015,0.559,84.776716868,97.269167096,127.847315873,1.354339568,0.653650307
hard,0.05,neutral,0.0,5,1.0,0.002,0.662,81.449781498,97.491342942,130.26419982,0.665856417,0.418996944
hard,0.05,rrtstar,,5,1.0,0.0025,0.682,80.803343567,99.267437877,128.943665885,0.10339926,0.170334603
hard,0.1,cvar0.1,0.1,5,1.0,0.0275,0.617,82.00588628,113.680040382,165.748622924,0.898616887,0.720083396
hard,0.1,cvar0.5,0.5,5,1.0,0.018,0.61,82.695532885,108.690022671,167.827762712,0.984531925,0.69472049
hard,0.1,cvar0.9,0.9,5,1.0,0.0215,0.516,87.654998671,110.295997841,173.307246837,1.702059114,0.668699745
hard,0.1,neutral,0.0,5,1.0,0.0295,0.6235,81.913659185,112.152757266,167.953769552,0.769208748,0.409664444
hard,0.1,rrtstar,,5,1.0,0.046,0.682,80.803343567,117.510900929,177.661457235,0.10339926,0.168865536
hard,0.5,cvar0.1,0.1,5,1.0,0.259,0.5525,85.036250481,210.075417322,529.319526996,1.362630835,0.69291259
hard,0.5,cvar0.5,0.5,5,1.0,0.254,0.515,87.614885951,200.866317538,486.010212206,1.702059114,0.707119018
hard,0.5,cvar0.9,0.9,5,1.0,0.2535,0.534,91.038936591,185.259444652,383.156124515,1.847204943,0.65567504
hard,0.5,neutral,0.0,5,1.0,0.2575,0.553,85.036250481,208.892577603,529.319526996,1.362630835,0.409023831
hard,0.5,rrtstar,,5,1.0,0.4225,0.682,80.803343567,266.069755709,567.403788032,0.10339926,0.166887971
medium,0.01,cvar0.1,0.1,5,1.0,0.0,0.549,80.161411744,83.00967118,87.071497701,0.208737253,0.802699296
medium,0.01,cvar0.5,0.5,5,1.0,0.0,0.5545,80.193802932,82.986977101,88.308598143,0.372769249,0.822812137
