episode,step,object,robot_x,robot_y,range,true_xmin,true_ymin,true_xmax,true_ymax,det_xmin,det_ymin,det_xmax,det_ymax
2.0000,0.0000,5.0000,1.2500,1.2500,5.2827,4.6377,2.0867,7.7068,4.2490,4.7041,2.2466,7.6783,4.3008
3.0000,0.0000,3.0000,1.2500,1.2500,6.3840,4.2623,5.7348,5.7536,7.0867,4.4578,5.7940,5.8666,7.0586
3.0000,0.0000,4.0000,1.2500,1.2500,8.0582,4.0386,6.9928,5.6777,9.9177,4.0651,6.9717,5.6219,9.8321
4.0000,0.0000,0.0000,1.2500,1.2500,9.0269,6.8566,5.9195,9.2235,8.4766,7.4403,6.4740,8.7141,8.0830
4.0000,0.0000,2.0000,1.2500,1.2500,9.8418,9.3081,2.5954,12.2237,4.9281,9.6967,3.3706,11.5850,4.3434
5.0000,0.0000,0.0000,1.2500,1.2500,5.5171,3.3967,4.5420,5.4821,6.9617,3.5174,4.5979,5.4637,6.8713
5.0000,0.0000,1.0000,1.2500,1.2500,4.5646,3.5669,3.2394,6.3642,4.5635,3.6717,3.2812,6.2704,4.5381
6.0000,0.0000,2.0000,1.2500,1.2500,9.6970,5.5622,8.5557,7.7343,10.0554,5.7799,8.6730,7.8110,10.1339
6.0000,0.0000,5.0000,1.2500,1.2500,9.1115,5.0485,7.5963,7.3856,10.1810,5.1224,7.7957,7.3437,10.2746
6.0000,0.0000,6.0000,1.2500,1.2500,7.6050,3.2676,7.2757,4.6518,9.4362,3.3813,7.2962,4.6621,9.4361
8.0000,0.0000,2.0000,1.2500,1.2500,6.8591,6.0048,3.0722,8.4371,6.1789,6.0661,3.0782,8.4497,6.0193
10.0000,0.0000,0.0000,1.2500,1.2500,7.0313,7.3515,2.4307,8.6297,4.0713,7.3971,2.4102,8.5643,4.0045
10.0000,0.0000,5.0000,1.2500,1.2500,7.0572,4.8236,5.9415,6.4626,7.6047,4.8816,6.0040,6.4501,7.5667
11.0000,0.0000,0.0000,1.2500,1.2500,6.6252,2.2398,6.5305,4.9779,8.3517,2.4677,6.6934,5.1042,8.3948
11.0000,0.0000,3.0000,1.2500,1.2500,8.0174,4.0584,7.0553,6.9718,9.0224,4.6756,7.6691,6.2173,8.5628
12.0000,0.0000,0.0000,1.2500,1.2500,7.9331,3.5780,6.8508,6.5001,9.5887,3.6635,7.0970,6.4472,9.7308
12.0000,0.0000,1.0000,1.2500,1.2500,8.9328,4.5737,8.1084,5.7750,10.4408,5.0541,8.5060,5.7217,9.7474
15.0000,0.0000,1.0000,1.2500,1.2500,9.0232,4.6857,7.9580,7.8215,9.5596,4.9140,8.1762,7.9113,9.6710
15.0000,0.0000,7.0000,1.2500,1.2500,6.8245,6.5569,3.3325,8.4870,4.5476,6.6464,3.2639,8.4435,4.4481
15.0000,0.0000,8.0000,1.2500,1.2500,4.8706,3.0857,3.8566,5.0024,6.6225,3.5538,4.3043,4.5089,5.8727
16.0000,0.0000,2.0000,1.2500,1.2500,6.6467,6.9796,2.0197,8.1959,4.4863,7.2580,2.0535,8.4789,4.4397
17.0000,0.0000,7.0000,1.2500,1.2500,8.4865,3.0983,8.5341,5.5894,9.7708,3.0049,8.4070,5.3721,9.5987
18.0000,0.0000,1.0000,1.2500,1.2500,7.9460,6.2339,4.5590,8.8367,7.6640,6.2911,4.5419,8.7009,7.5279
18.0000,0.0000,4.0000,1.2500,1.2500,9.8398,8.8992,4.8829,10.7879,7.2031,9.1952,4.6910,11.0209,6.9806
18.0000,0.0000,5.0000,1.2500,1.2500,7.5141,6.6952,2.7792,9.8020,5.1913,6.9713,2.9276,9.9224,5.2236
19.0000,0.0000,5.0000,1.2500,1.2500,6.2292,4.6874,4.2027,6.7578,6.9688,5.2256,4.8153,6.1551,6.2884
20.0000,0.0000,0.0000,1.2500,1.2500,6.2176,2.7380,5.7230,5.7673,7.6660,3.3878,6.0832,4.7672,7.1418
20.0000,0.0000,1.0000,1.2500,1.2500,9.0055,8.2991,4.6028,10.2772,6.0180,8.8163,4.7593,9.6776,5.6753
21.0000,0.0000,6.0000,1.2500,1.2500,9.3608,6.7106,7.1622,8.9488,8.6543,6.5979,7.4264,8.7184,8.8450
22.0000,0.0000,2.0000,1.2500,1.2500,9.1431,6.8642,5.8881,9.7146,8.2811,6.8458,5.9436,9.5267,8.1931
23.0000,0.0000,0.0000,1.2500,1.2500,8.4571,8.1052,2.0710,10.6847,4.9820,8.1323,2.1856,10.5864,4.9875
23.0000,0.0000,3.0000,1.2500,1.2500,7.1398,5.7650,4.8770,7.8729,6.5592,5.9152,4.7996,7.8960,6.4166
24.0000,0.0000,5.0000,1.2500,1.2500,9.5868,3.6700,8.7697,6.2932,11.3918,3.5487,8.8992,6.0114,11.4386
24.0000,0.0000,6.0000,1.2500,1.2500,9.3916,2.8761,8.9505,4.3183,11.7367,2.9129,8.9612,4.2222,11.6867
25.0000,0.0000,4.0000,1.2500,1.2500,9.7751,9.3380,2.3121,12.3229,4.0695,10.0626,2.7353,11.7684,3.6155
26.0000,0.0000,3.0000,1.2500,1.2500,8.8728,6.8303,5.7254,9.3332,8.0977,6.6267,5.8655,8.9899,8.0848
28.0000,0.0000,5.0000,1.2500,1.2500,7.2011,3.8390,6.4846,5.9093,8.4606,4.2465,6.5081,6.2220,8.4357
29.0000,0.0000,0.0000,1.2500,1.2500,9.1056,2.8219,8.7738,4.3549,11.3265,2.9529,8.8456,4.3682,11.3214
