trial_id,detector,shift,clutter,seed,episodes,detections,collisions,successes,stalls,collision_rate,mean_length,mean_waits,score_mean,score_max,coverage_margin
241,degraded,1.0,dense,0,1,114,1,0,0,1.0,9.571067812,0.0,0.516213468,1.151405207,-1.151405207
242,degraded,1.0,dense,1,1,96,1,0,0,1.0,8.278174593,0.0,0.487381448,1.546398722,-1.546398722
251,degraded,1.0,dense,10,1,158,1,0,0,1.0,10.778174593,0.0,0.622508761,1.396038728,-1.396038728
252,degraded,1.0,dense,11,1,14,1,0,0,1.0,4.949747468,0.0,0.400159006,0.551227203,-0.551227203
253,degraded,1.0,dense,12,1,51,1,0,0,1.0,6.449747468,0.0,0.469106063,0.952961055,-0.952961055
254,degraded,1.0,dense,13,1,36,1,0,0,1.0,7.071067812,0.0,0.700030303,1.520587589,-1.520587589
255,degraded,1.0,dense,14,1,231,1,0,0,1.0,20.849242405,0.0,0.479160476,1.267951247,-1.267951247
256,degraded,1.0,dense,15,1,32,1,0,0,1.0,4.828427125,0.0,0.56314215,1.443867129,-1.443867129
257,degraded,1.0,dense,16,1,18,1,0,0,1.0,2.828427125,0.0,0.547479151,1.500310423,-1.500310423
258,degraded,1.0,dense,17,1,77,1,0,0,1.0,8.571067812,0.0,0.630334397,1.66420653,-1.66420653
259,degraded,1.0,dense,18,1,21,1,0,0,1.0,4.121320344,0.0,0.583088072,1.155086601,-1.155086601
260,degraded,1.0,dense,19,1,102,1,0,0,1.0,7.121320344,0.0,0.484250236,1.370082762,-1.370082762
243,degraded,1.0,dense,2,1,166,1,0,0,1.0,12.899494937,0.0,0.553042508,1.296513066,-1.296513066
261,degraded,1.0,dense,20,1,14,1,0,0,1.0,4.328427125,0.0,0.440934691,0.824447139,-0.824447139
262,degraded,1.0,dense,21,1,30,1,0,0,1.0,3.535533906,0.0,0.520558649,1.08652367,-1.08652367
263,degraded,1.0,dense,22,1,21,1,0,0,1.0,5.035533906,0.0,0.472250011,0.991144134,-0.991144134
264,degraded,1.0,dense,23,1,28,1,0,0,1.0,6.363961031,0.0,0.75228976,1.477733771,-1.477733771
265,degraded,1.0,dense,24,1,61,1,0,0,1.0,7.449747468,0.0,0.460705495,1.036264712,-1.036264712
266,degraded,1.0,dense,25,1,92,1,0,0,1.0,12.813708499,0.0,0.554264655,1.751957685,-1.751957685
267,degraded,1.0,dense,26,1,132,1,0,0,1.0,15.727922061,0.0,0.529636763,1.638255342,-1.638255342
268,degraded,1.0,dense,27,1,58,1,0,0,1.0,8.985281374,0.0,0.764503315,1.558490916,-1.558490916
269,degraded,1.0,dense,28,1,23,1,0,0,1.0,3.328427125,0.0,0.505518932,1.360916896,-1.360916896
270,degraded,1.0,dense,29,1,62,1,0,0,1.0,7.778174593,0.0,0.595471361,1.10586459,-1.10586459
244,degraded,1.0,dense,3,1,57,1,0,0,1.0,4.621320344,0.0,0.695116282,1.384709154,-1.384709154
245,degraded,1.0,dense,4,1,16,1,0,0,1.0,4.035533906,0.0,0.479125941,0.98553471,-0.98553471
246,degraded,1.0,dense,5,1,149,1,0,0,1.0,14.813708499,0.0,0.444173852,1.033077119,-1.033077119
247,degraded,1.0,dense,6,1,40,1,0,0,1.0,6.863961031,0.0,0.511936261,0.910155478,-0.910155478
248,degraded,1.0,dense,7,1,117,1,0,0,1.0,12.106601718,0.0,0.508998168,1.364911951,-1.364911951
249,degraded,1.0,dense,8,1,86,1,0,0,1.0,9.985281374,0.0,0.445305742,0.89611458,-0.89611458
250,degraded,1.0,dense,9,1,36,1,0,0,1.0,3.535533906,0.0,0.519088605,1.288033964,-1.288033964
211,degraded,1.0,nominal,0,1,57,1,0,0,1.0,8.985281374,0.0,0.441603315,0.858079087,-0.858079087
212,degraded,1.0,nominal,1,1,56,1,0,0,1.0,9.485281374,0.0,0.661318999,1.302507211,-1.302507211
221,degraded,1.0,nominal,10,1,100,1,0,0,1.0,10.692388155,0.0,0.508932161,1.194676925,-1.194676925
222,degraded,1.0,nominal,11,1,104,1,0,0,1.0,19.263455967,0.0,0.689382224,1.4723309,-1.4723309
223,degraded,1.0,nominal,12,1,15,1,0,0,1.0,4.949747468,0.0,0.635865172,0.990530352,-0.990530352
224,degraded,1.0,nominal,13,1,46,1,0,0,1.0,9.692388155,0.0,0.673546098,1.391504159,-1.391504159
225,degraded,1.0,nominal,14,1,181,1,0,0,1.0,19.970562748,0.0,0.515411153,1.449110709,-1.449110709
226,degraded,1.0,nominal,15,1,23,1,0,0,1.0,5.656854249,0.0,0.416507464,0.53737844,-0.53737844
227,degraded,1.0,nominal,16,1,6,1,0,0,1.0,2.121320344,0.0,0.677961932,1.000727431,-1.000727431
228,degraded,1.0,nominal,17,1,87,1,0,0,1.0,12.399494937,0.0,0.535424915,1.091718875,-1.091718875
229,degraded,1.0,nominal,18,1,17,1,0,0,1.0,3.621320344,0.0,0.490789995,0.713119533,-0.713119533
230,degraded,1.0,nominal,19,1,16,1,0,0,1.0,2.828427125,0.0,0.514836949,0.866156206,-0.866156206
213,degraded,1.0,nominal,2,1,53,1,0,0,1.0,9.899494937,0.0,0.602122811,1.290989727,-1.290989727
231,degraded,1.0,nominal,20,1,88,1,0,0,1.0,15.313708499,0.0,0.592640959,1.365609237,-1.365609237
232,degraded,1.0,nominal,21,1,170,1,0,0,1.0,18.399494937,0.0,0.465896313,1.357860834,-1.357860834
233,degraded,1.0,nominal,22,1,14,1,0,0,1.0,5.328427125,0.0,0.559888036,0.930216085,-0.930216085
234,degraded,1.0,nominal,23,1,43,1,0,0,1.0,9.899494937,0.0,0.641896341,1.375892589,-1.375892589
235,degraded,1.0,nominal,24,1,42,1,0,0,1.0,7.156854249,0.0,0.480699514,0.831104882,-0.831104882
236,degraded,1.0,nominal,25,1,102,1,0,0,1.0,22.591883092,0.0,0.459594989,0.796759824,-0.796759824
237,degraded,1.0,nominal,26,1,143,1,0,0,1.0,20.106601718,0.0,0.540302085,1.528262725,-1.528262725
238,degraded,1.0,nominal,27,1,45,1,0,0,1.0,8.278174593,0.0,0.627655032,1.374438858,-1.374438858
239,degraded,1.0,nominal,28,1,7,1,0,0,1.0,2.121320344,0.0,0.387789435,0.478324648,-0.478324648
240,degraded,1.0,nominal,29,1,126,1,0,0,1.0,21.884776311,0.0,0.452801997,0.967669097,-0.967669097
214,degraded,1.0,nominal,3,1,36,1,0,0,1.0,5.656854249,0.0,0.46510558,0.966611744,-0.966611744
215,degraded,1.0,nominal,4,1,8,1,0,0,1.0,2.828427125,0.0,0.498237547,0.697461871,-0.697461871
216,degraded,1.0,nominal,5,1,139,1,0,0,1.0,20.67766953,0.0,0.403450116,0.834788741,-0.834788741
217,degraded,1.0,nominal,6,1,21,1,0,0,1.0,6.156854249,0.0,0.684160091,1.406981919,-1.406981919
218,degraded,1.0,nominal,7,1,100,1,0,0,1.0,11.399494937,0.0,0.536433906,1.41812241,-1.41812241
219,degraded,1.0,nominal,8,1,77,1,0,0,1.0,14.727922061,0.0,0.416671814,0.910357077,-0.910357077
220,degraded,1.0,nominal,9,1,21,1,0,0,1.0,3.535533906,0.0,0.477733641,0.892833505,-0.892833505
181,degraded,1.0,sparse,0,1,48,1,0,0,1.0,9.192388155,0.0,0.447636114,0.775147001,-0.775147001
182,degraded,1.0,sparse,1,1,19,1,0,0,1.0,8.485281374,0.0,0.710892279,1.147321025,-1.147321025
191,degraded,1.0,sparse,10,1,58,1,0,0,1.0,10.692388155,0.0,0.421335018,0.761492763,-0.761492763
192,degraded,1.0,sparse,11,1,92,1,0,0,1.0,20.884776311,0.0,0.527425824,1.141157073,-1.141157073
193,degraded,1.0,sparse,12,1,16,1,0,0,1.0,5.949747468,0.0,0.537280032,0.744484281,-0.744484281
194,degraded,1.0,sparse,13,1,44,1,0,0,1.0,11.106601718,0.0,0.534402471,1.296992609,-1.296992609
195,degraded,1.0,sparse,14,1,70,0,1,0,0.0,24.748737342,0.0,0.718845035,1.296589243,-1.296589243
196,degraded,1.0,sparse,15,1,19,1,0,0,1.0,7.571067812,0.0,0.433446679,0.652620083,-0.652620083
197,degraded,1.0,sparse,16,1,12,1,0,0,1.0,4.035533906,0.0,0.434396899,0.749041022,-0.749041022
198,degraded,1.0,sparse,17,1,87,1,0,0,1.0,21.091883092,0.0,0.460559301,0.91665651,-0.91665651
199,degraded,1.0,sparse,18,1,17,1,0,0,1.0,4.328427125,0.0,0.41032289,0.796184297,-0.796184297
200,degraded,1.0,sparse,19,1,71,0,1,0,0.0,24.748737342,0.0,0.42789721,0.774800411,-0.774800411
183,degraded,1.0,sparse,2,1,35,1,0,0,1.0,10.606601718,0.0,0.396560456,0.657344605,-0.657344605
201,degraded,1.0,sparse,20,1,78,0,1,0,0.0,24.748737342,0.0,0.439117747,0.907495228,-0.907495228
202,degraded,1.0,sparse,21,1,10,1,0,0,1.0,3.328427125,0.0,0.46195251,0.872484366,-0.872484366
203,degraded,1.0,sparse,22,1,97,0,1,0,0.0,24.748737342,0.0,0.473260826,0.849805008,-0.849805008
204,degraded,1.0,sparse,23,1,40,1,0,0,1.0,11.192388155,0.0,0.452081187,0.767841151,-0.767841151
205,degraded,1.0,sparse,24,1,13,1,0,0,1.0,4.242640687,0.0,0.462055558,0.706867961,-0.706867961
206,degraded,1.0,sparse,25,1,80,0,1,0,0.0,24.748737342,0.0,0.649237626,1.286258303,-1.286258303
207,degraded,1.0,sparse,26,1,71,1,0,0,1.0,18.849242405,0.0,0.447449068,1.014838435,-1.014838435
208,degraded,1.0,sparse,27,1,46,1,0,0,1.0,15.435028843,0.0,1.039734403,1.773197749,-1.773197749
209,degraded,1.0,sparse,28,1,121,0,1,0,0.0,24.748737342,0.0,0.486574882,0.97522333,-0.97522333
210,degraded,1.0,sparse,29,1,102,1,0,0,1.0,20.970562748,0.0,0.507219794,1.14487164,-1.14487164
184,degraded,1.0,sparse,3,1,84,0,1,0,0.0,24.748737342,0.0,0.461366193,0.92010077,-0.92010077
185,degraded,1.0,sparse,4,1,58,1,0,0,1.0,12.606601718,0.0,0.799866662,1.340725772,-1.340725772
186,degraded,1.0,sparse,5,1,119,1,0,0,1.0,20.763455967,0.0,0.570881623,1.263828188,-1.263828188
187,degraded,1.0,sparse,6,1,60,1,0,0,1.0,19.970562748,0.0,0.662730508,1.335460472,-1.335460472
188,degraded,1.0,sparse,7,1,43,1,0,0,1.0,9.899494937,0.0,0.473314016,0.808282836,-0.808282836
189,degraded,1.0,sparse,8,1,65,1,0,0,1.0,15.02081528,0.0,0.613429159,1.324811476,-1.324811476
190,degraded,1.0,sparse,9,1,59,1,0,0,1.0,13.606601718,0.0,0.652331328,1.241523232,-1.241523232
151,nominal,0.0,dense,0,1,132,1,0,0,1.0,10.156854249,0.0,0.22437388,0.781459896,-0.781459896
152,nominal,0.0,dense,1,1,121,1,0,0,1.0,9.449747468,0.0,0.214901143,1.026300309,-1.026300309
161,nominal,0.0,dense,10,1,191,1,0,0,1.0,12.692388155,0.0,0.331711137,1.098664272,-1.098664272
162,nominal,0.0,dense,11,1,184,1,0,0,1.0,20.763455967,0.0,0.20768415,0.847593344,-0.847593344
163,nominal,0.0,dense,12,1,82,1,0,0,1.0,9.242640687,0.0,0.168814219,0.393277314,-0.393277314
164,nominal,0.0,dense,13,1,36,1,0,0,1.0,7.071067812,0.0,0.392408173,1.158101889,-1.158101889
165,nominal,0.0,dense,14,1,235,0,1,0,0.0,25.627416998,0.0,0.210856097,0.791674576,-0.791674576
166,nominal,0.0,dense,15,1,45,1,0,0,1.0,6.121320344,0.0,0.164698253,0.253292676,-0.253292676
167,nominal,0.0,dense,16,1,18,1,0,0,1.0,2.828427125,0.0,0.268931943,1.060850188,-1.060850188
168,nominal,0.0,dense,17,1,365,0,1,0,0.0,27.970562748,0.0,0.367035589,1.194327799,-1.194327799
169,nominal,0.0,dense,18,1,25,1,0,0,1.0,4.621320344,0.0,0.295309083,0.758260902,-0.758260902
170,nominal,0.0,dense,19,1,102,1,0,0,1.0,7.121320344,0.0,0.226495233,1.042961295,-1.042961295
153,nominal,0.0,dense,2,1,178,1,0,0,1.0,13.399494937,0.0,0.268641052,1.068586928,-1.068586928
171,nominal,0.0,dense,20,1,14,1,0,0,1.0,4.328427125,0.0,0.169293068,0.359895858,-0.359895858
172,nominal,0.0,dense,21,1,78,1,0,0,1.0,6.707106781,0.0,0.248418557,0.990896993,-0.990896993
173,nominal,0.0,dense,22,1,95,1,0,0,1.0,11.278174593,0.0,0.195712325,1.00936669,-1.00936669
174,nominal,0.0,dense,23,1,28,1,0,0,1.0,6.363961031,0.0,0.472298106,1.061556395,-1.061556395
175,nominal,0.0,dense,24,1,61,1,0,0,1.0,7.449747468,0.0,0.177304504,0.431651506,-0.431651506
176,nominal,0.0,dense,25,1,255,0,1,0,0.0,27.091883092,0.0,0.230541096,1.225560115,-1.225560115
177,nominal,0.0,dense,26,1,132,1,0,0,1.0,15.727922061,0.0,0.22415037,1.071263063,-1.071263063
178,nominal,0.0,dense,27,1,58,1,0,0,1.0,9.192388155,0.0,0.464357594,1.199185324,-1.199185324
179,nominal,0.0,dense,28,1,38,1,0,0,1.0,4.414213562,0.0,0.241480001,0.989588362,-0.989588362
180,nominal,0.0,dense,29,1,62,1,0,0,1.0,7.778174593,0.0,0.301619172,0.996629612,-0.996629612
154,nominal,0.0,dense,3,1,28,1,0,0,1.0,2.621320344,0.0,0.481396028,1.03792718,-1.03792718
155,nominal,0.0,dense,4,1,128,1,0,0,1.0,13.985281374,0.0,0.28212045,1.114840172,-1.114840172
156,nominal,0.0,dense,5,1,149,1,0,0,1.0,15.02081528,0.0,0.167516166,0.437946805,-0.437946805
157,nominal,0.0,dense,6,1,40,1,0,0,1.0,6.863961031,0.0,0.235376685,0.543972059,-0.543972059
158,nominal,0.0,dense,7,1,108,1,0,0,1.0,11.813708499,0.0,0.216091623,0.90195217,-0.90195217
159,nominal,0.0,dense,8,1,94,1,0,0,1.0,10.899494937,0.0,0.169118465,0.409270731,-0.409270731
160,nominal,0.0,dense,9,1,46,1,0,0,1.0,4.035533906,0.0,0.217744694,0.966336996,-0.966336996
121,nominal,0.0,nominal,0,1,57,1,0,0,1.0,8.985281374,0.0,0.171156717,0.388512983,-0.388512983
122,nominal,0.0,nominal,1,1,63,1,0,0,1.0,9.985281374,0.0,0.373019335,0.970892795,-0.970892795
131,nominal,0.0,nominal,10,1,107,1,0,0,1.0,10.985281374,0.0,0.23875661,0.897546703,-0.897546703
132,nominal,0.0,nominal,11,1,114,1,0,0,1.0,20.056349186,0.0,0.385997035,1.141462463,-1.141462463
133,nominal,0.0,nominal,12,1,15,1,0,0,1.0,4.949747468,0.0,0.382386179,0.720791431,-0.720791431
134,nominal,0.0,nominal,13,1,46,1,0,0,1.0,9.692388155,0.0,0.372670475,0.953648321,-0.953648321
135,nominal,0.0,nominal,14,1,206,0,1,0,0.0,25.627416998,0.0,0.245342144,1.15518159,-1.15518159
136,nominal,0.0,nominal,15,1,23,1,0,0,1.0,5.656854249,0.0,0.154614084,0.234765056,-0.234765056
137,nominal,0.0,nominal,16,1,8,1,0,0,1.0,2.621320344,0.0,0.387053968,0.726045967,-0.726045967
138,nominal,0.0,nominal,17,1,119,1,0,0,1.0,14.399494937,0.0,0.246026504,0.83913167,-0.83913167
139,nominal,0.0,nominal,18,1,55,1,0,0,1.0,7.656854249,0.0,0.245406051,0.954309695,-0.954309695
140,nominal,0.0,nominal,19,1,36,1,0,0,1.0,4.828427125,0.0,0.269423309,0.839537951,-0.839537951
123,nominal,0.0,nominal,2,1,53,1,0,0,1.0,9.899494937,0.0,0.308501,1.033065591,-1.033065591
141,nominal,0.0,nominal,20,1,103,1,0,0,1.0,16.399494937,0.0,0.301862413,1.157565393,-1.157565393
142,nominal,0.0,nominal,21,1,182,1,0,0,1.0,18.985281374,0.0,0.206990085,0.921402648,-0.921402648
143,nominal,0.0,nominal,22,1,14,1,0,0,1.0,5.328427125,0.0,0.296205332,0.660809766,-0.660809766
144,nominal,0.0,nominal,23,1,49,1,0,0,1.0,10.399494937,0.0,0.334087421,0.955420172,-0.955420172
145,nominal,0.0,nominal,24,1,32,1,0,0,1.0,5.828427125,0.0,0.186117235,0.29021666,-0.29021666
146,nominal,0.0,nominal,25,1,131,0,1,0,0.0,27.67766953,0.0,0.170042605,0.353888536,-0.353888536
147,nominal,0.0,nominal,26,1,111,1,0,0,1.0,17.813708499,0.0,0.264897295,1.168423568,-1.168423568
148,nominal,0.0,nominal,27,1,46,1,0,0,1.0,8.485281374,0.0,0.321039893,0.936358931,-0.936358931
149,nominal,0.0,nominal,28,1,13,1,0,0,1.0,3.121320344,0.0,0.137291931,0.20163606,-0.20163606
150,nominal,0.0,nominal,29,1,132,0,1,0,0.0,25.920310217,0.0,0.169150463,0.445318141,-0.445318141
124,nominal,0.0,nominal,3,1,41,1,0,0,1.0,6.156854249,0.0,0.172979641,0.44057653,-0.44057653
125,nominal,0.0,nominal,4,1,96,1,0,0,1.0,13.106601718,0.0,0.338415668,1.359408163,-1.359408163
126,nominal,0.0,nominal,5,1,133,1,0,0,1.0,20.384776311,0.0,0.155990932,0.372779643,-0.372779643
127,nominal,0.0,nominal,6,1,25,1,0,0,1.0,6.656854249,0.0,0.395525553,1.10740152,-1.10740152
128,nominal,0.0,nominal,7,1,92,1,0,0,1.0,11.313708499,0.0,0.257974827,1.018383842,-1.018383842
129,nominal,0.0,nominal,8,1,127,1,0,0,1.0,20.349242405,0.0,0.153399341,0.39252526,-0.39252526
130,nominal,0.0,nominal,9,1,182,0,1,0,0.0,27.970562748,0.0,0.161068801,0.400946908,-0.400946908
91,nominal,0.0,sparse,0,1,48,1,0,0,1.0,9.192388155,0.0,0.174439986,0.352970576,-0.352970576
92,nominal,0.0,sparse,1,1,23,1,0,0,1.0,9.485281374,0.0,0.393247441,0.962769617,-0.962769617
101,nominal,0.0,sparse,10,1,62,1,0,0,1.0,11.192388155,0.0,0.156520959,0.312529119,-0.312529119
102,nominal,0.0,sparse,11,1,118,0,1,0,0.0,26.213203436,0.0,0.251265791,0.736101174,-0.736101174
103,nominal,0.0,sparse,12,1,16,1,0,0,1.0,5.949747468,0.0,0.197940973,0.307749534,-0.307749534
104,nominal,0.0,sparse,13,1,151,0,1,0,0.0,26.213203436,0.0,0.270375062,0.984544596,-0.984544596
105,nominal,0.0,sparse,14,1,70,0,1,0,0.0,24.748737342,0.0,0.461387442,1.004291683,-1.004291683
106,nominal,0.0,sparse,15,1,19,1,0,0,1.0,7.571067812,0.0,0.147247544,0.289543784,-0.289543784
107,nominal,0.0,sparse,16,1,78,0,1,0,0.0,25.920310217,0.0,0.161210513,0.332765253,-0.332765253
108,nominal,0.0,sparse,17,1,108,0,1,0,0.0,26.798989873,0.0,0.172760385,0.366350196,-0.366350196
109,nominal,0.0,sparse,18,1,17,1,0,0,1.0,4.328427125,0.0,0.159107497,0.34967861,-0.34967861
110,nominal,0.0,sparse,19,1,71,0,1,0,0.0,24.748737342,0.0,0.167106628,0.339101395,-0.339101395
93,nominal,0.0,sparse,2,1,35,1,0,0,1.0,10.606601718,0.0,0.151002868,0.286343339,-0.286343339
111,nominal,0.0,sparse,20,1,78,0,1,0,0.0,24.748737342,0.0,0.165848672,0.366982422,-0.366982422
112,nominal,0.0,sparse,21,1,18,1,0,0,1.0,5.328427125,0.0,0.161427467,0.363858632,-0.363858632
113,nominal,0.0,sparse,22,1,97,0,1,0,0.0,24.748737342,0.0,0.179164774,0.387883811,-0.387883811
114,nominal,0.0,sparse,23,1,106,1,0,0,1.0,21.849242405,0.0,0.284932992,1.015241597,-1.015241597
115,nominal,0.0,sparse,24,1,49,1,0,0,1.0,11.692388155,0.0,0.167118195,0.417596779,-0.417596779
116,nominal,0.0,sparse,25,1,80,0,1,0,0.0,24.748737342,0.0,0.367361493,0.946889549,-0.946889549
117,nominal,0.0,sparse,26,1,109,0,1,0,0.0,25.920310217,0.0,0.171348406,0.471262878,-0.471262878
118,nominal,0.0,sparse,27,1,44,1,0,0,1.0,15.435028843,0.0,0.697688602,1.205823422,-1.205823422
119,nominal,0.0,sparse,28,1,121,0,1,0,0.0,24.748737342,0.0,0.180588803,0.411625981,-0.411625981
120,nominal,0.0,sparse,29,1,105,1,0,0,1.0,21.470562748,0.0,0.19010571,0.49684902,-0.49684902
94,nominal,0.0,sparse,3,1,84,0,1,0,0.0,24.748737342,0.0,0.17865901,0.419253303,-0.419253303
95,nominal,0.0,sparse,4,1,63,1,0,0,1.0,12.692388155,0.0,0.525179975,1.068765289,-1.068765289
