design,allocation,required_margin,sigma,trials,mean_min_rho,worst_min_rho,violating_trials
alloc012-m0.15,0-1-2,0.15,0.06,3,-0.040401655,-0.086958987,2
alloc012-m0.15,0-1-2,0.15,0.09,3,-0.116190429,-0.15480184,3
alloc012-m0.15,0-1-2,0.15,0.12,3,-0.134415846,-0.145489447,3
alloc012-m0.35,0-1-2,0.35,0.06,3,0.163165691,0.094056051,0
alloc012-m0.35,0-1-2,0.35,0.09,3,0.097760817,0.026213197,0
alloc012-m0.35,0-1-2,0.35,0.12,3,0.01688429,-0.092054083,2
alloc012-m0.45,0-1-2,0.45,0.06,3,0.277549695,0.224393502,0
alloc012-m0.45,0-1-2,0.45,0.09,3,0.191753526,0.111590253,0
alloc012-m0.45,0-1-2,0.45,0.12,3,0.152256762,0.101694399,0
alloc012-m0.5,0-1-2,0.5,0.06,3,,,
alloc012-m0.5,0-1-2,0.5,0.09,3,,,
alloc012-m0.5,0-1-2,0.5,0.12,3,,,
alloc021-m0.15,0-2-1,0.15,0.06,3,0.010821533,0.002288582,0
alloc021-m0.15,0-2-1,0.15,0.09,3,-0.0587677,-0.071567128,3
alloc021-m0.15,0-2-1,0.15,0.12,3,-0.125657326,-0.145422837,3
alloc021-m0.35,0-2-1,0.35,0.06,3,0.212782547,0.157719853,0
alloc021-m0.35,0-2-1,0.35,0.09,3,0.14417382,0.06157978,0
alloc021-m0.35,0-2-1,0.35,0.12,3,0.075565093,-0.034560294,1
alloc021-m0.45,0-2-1,0.45,0.06,3,0.313817547,0.311352489,0
alloc021-m0.45,0-2-1,0.45,0.09,3,0.23854704,0.211590253,0
alloc021-m0.45,0-2-1,0.45,0.12,3,0.15498029,0.098787004,0
alloc021-m0.5,0-2-1,0.5,0.06,3,,,
alloc021-m0.5,0-2-1,0.5,0.09,3,,,
alloc021-m0.5,0-2-1,0.5,0.12,3,,,
alloc102-m0.15,1-0-2,0.15,0.06,3,-0.022807388,-0.048356058,2
alloc102-m0.15,1-0-2,0.15,0.09,3,-0.094491398,-0.137469117,3
alloc102-m0.15,1-0-2,0.15,0.12,3,-0.161270303,-0.233292156,3
alloc102-m0.35,1-0-2,0.35,0.06,3,0.186942126,0.124393502,0
alloc102-m0.35,1-0-2,0.35,0.09,3,0.119709436,0.054478994,0
alloc102-m0.35,1-0-2,0.35,0.12,3,0.097319416,0.012666873,0
alloc102-m0.45,1-0-2,0.45,0.06,3,0.289926217,0.257719853,0
alloc102-m0.45,1-0-2,0.45,0.09,3,0.209889326,0.16157978,0
alloc102-m0.45,1-0-2,0.45,0.12,3,0.129852435,0.065439706,0
alloc102-m0.5,1-0-2,0.5,0.06,3,,,
alloc102-m0.5,1-0-2,0.5,0.09,3,,,
alloc102-m0.5,1-0-2,0.5,0.12,3,,,
alloc120-m0.15,1-2-0,0.15,0.06,3,-0.059462574,-0.094211022,3
alloc120-m0.15,1-2-0,0.15,0.09,3,-0.170966475,-0.24159431,3
alloc120-m0.15,1-2-0,0.15,0.12,3,-0.289274338,-0.388977599,3
alloc120-m0.35,1-2-0,0.35,0.06,3,0.194795204,0.122014558,0
alloc120-m0.35,1-2-0,0.35,0.09,3,0.119011239,0.013477133,0
alloc120-m0.35,1-2-0,0.35,0.12,3,0.041260848,-0.100959566,1
alloc120-m0.45,1-2-0,0.45,0.06,3,0.296007492,0.225651422,0
alloc120-m0.45,1-2-0,0.45,0.09,3,0.219011239,0.113477133,0
alloc120-m0.45,1-2-0,0.45,0.12,3,0.142014985,0.001302844,0
alloc120-m0.5,1-2-0,0.5,0.06,3,,,
alloc120-m0.5,1-2-0,0.5,0.09,3,,,
alloc120-m0.5,1-2-0,0.5,0.12,3,,,
alloc201-m0.15,2-0-1,0.15,0.06,3,0.021135689,0.011740644,0
alloc201-m0.15,2-0-1,0.15,0.09,3,-0.043296466,-0.057389034,3
alloc201-m0.15,2-0-1,0.15,0.12,3,-0.107728621,-0.126518712,3
alloc201-m0.35,2-0-1,0.35,0.06,3,0.177229271,0.124393502,0
alloc201-m0.35,2-0-1,0.35,0.09,3,0.075943457,0.011590253,0
alloc201-m0.35,2-0-1,0.35,0.12,3,-0.019797661,-0.075689329,2
alloc201-m0.45,2-0-1,0.45,0.06,3,0.288090146,0.247576232,0
alloc201-m0.45,2-0-1,0.45,0.09,3,0.187028166,0.090820635,0
alloc201-m0.45,2-0-1,0.45,0.12,3,0.103067961,-0.014629637,1
alloc201-m0.5,2-0-1,0.5,0.06,3,,,
alloc201-m0.5,2-0-1,0.5,0.09,3,,,
alloc201-m0.5,2-0-1,0.5,0.12,3,,,
alloc210-m0.15,2-1-0,0.15,0.06,3,-0.003023719,-0.077985442,1
alloc210-m0.15,2-1-0,0.15,0.09,3,-0.07190449,-0.169084895,3
alloc210-m0.15,2-1-0,0.15,0.12,3,-0.131821196,-0.233292156,3
alloc210-m0.35,2-1-0,0.35,0.06,3,0.16012562,0.141118773,0
alloc210-m0.35,2-1-0,0.35,0.09,3,0.073678453,0.018497493,0
alloc210-m0.35,2-1-0,0.35,0.12,3,-0.026762063,-0.117003343,1
alloc210-m0.45,2-1-0,0.45,0.06,3,0.308960004,0.252122086,0
alloc210-m0.45,2-1-0,0.45,0.09,3,0.207265097,0.16157978,0
alloc210-m0.45,2-1-0,0.45,0.12,3,0.102594754,0.06532792,0
alloc210-m0.5,2-1-0,0.5,0.06,3,,,
alloc210-m0.5,2-1-0,0.5,0.09,3,,,
alloc210-m0.5,2-1-0,0.5,0.12,3,,,
