design,allocation,required_margin,trials,feasible_trials,stop,nodes,mip_gap,effort,planned_min_rho,distinct_plans,solve_wall_mean,solve_wall_max,mean_min_rho,worst_min_rho,violating_trials,violations_AGR_1,violations_AGR_2,violations_AGR_3,rank
alloc012-m0.15,0-1-2,0.15,9,9,optimal,5691.0,0.049958693,3.423142644,0.15,1,43.114016816,43.279260914,-0.097002643,-0.15480184,8,6,8,6,15
alloc012-m0.35,0-1-2,0.35,9,9,node limit,8000.0,0.594518614,9.106796736,0.35,1,50.767870002,51.06101323,0.092603599,-0.092054083,2,1,1,1,10
alloc012-m0.45,0-1-2,0.45,9,9,node limit,8000.0,0.460036089,8.820275102,0.45,1,61.186113338,61.541883757,0.207186661,0.101694399,0,0,0,0,1
alloc012-m0.5,0-1-2,0.5,9,0,infeasible,,,,,,0.011941489,0.013557283,,,,,,,
alloc021-m0.15,0-2-1,0.15,9,9,optimal,6467.0,0.049757537,3.389268065,0.149997624,1,38.532278433,38.792108955,-0.057867831,-0.145422837,6,4,5,5,14
alloc021-m0.35,0-2-1,0.35,9,9,node limit,8000.0,0.557569563,7.029593364,0.35,1,62.654753886,66.750425081,0.14417382,-0.034560294,1,0,1,0,8
alloc021-m0.45,0-2-1,0.45,9,9,node limit,8000.0,0.544329295,8.275606738,0.45,1,76.992728476,79.094113862,0.235781626,0.098787004,0,0,0,0,2
alloc021-m0.5,0-2-1,0.5,9,0,infeasible,,,,,,0.009633996,0.011310857,,,,,,,
alloc102-m0.15,1-0-2,0.15,9,9,optimal,6203.0,0.049661704,3.178808471,0.15,1,47.770145889,48.152645265,-0.092856363,-0.233292156,8,6,6,6,17
alloc102-m0.35,1-0-2,0.35,9,9,node limit,8000.0,0.481541868,5.207753609,0.35,1,59.744052306,63.94481259,0.134656992,0.012666873,0,0,0,0,5
alloc102-m0.45,1-0-2,0.45,9,9,node limit,8000.0,0.477163521,8.100226513,0.45,1,68.742102577,69.392829738,0.209889326,0.065439706,0,0,0,0,3
alloc102-m0.5,1-0-2,0.5,9,0,infeasible,,,,,,0.011782928,0.014536503,,,,,,,
alloc120-m0.15,1-2-0,0.15,9,9,optimal,4015.0,0.04996435,3.549929248,0.15,1,28.693091717,28.846910702,-0.173234462,-0.388977599,9,7,9,7,18
alloc120-m0.35,1-2-0,0.35,9,9,node limit,8000.0,0.246254322,5.286702397,0.35,1,52.62950539,52.772846998,0.118355764,-0.100959566,1,0,1,1,11
alloc120-m0.45,1-2-0,0.45,9,9,node limit,8000.0,0.344736096,8.101886227,0.45,1,67.006800851,67.175540915,0.219011239,0.001302844,0,0,0,0,6
alloc120-m0.5,1-2-0,0.5,9,0,infeasible,,,,,,0.010327187,0.01052914,,,,,,,
alloc201-m0.15,2-0-1,0.15,9,9,optimal,5129.0,0.049991118,4.07620869,0.15,1,41.625628469,41.830677736,-0.043296466,-0.126518712,6,6,3,4,13
alloc201-m0.35,2-0-1,0.35,9,9,node limit,8000.0,0.446181803,6.873399557,0.35,1,56.854826829,57.158032,0.077791689,-0.075689329,2,1,2,0,9
alloc201-m0.45,2-0-1,0.45,9,9,node limit,8000.0,0.557321164,11.138121444,0.45,1,62.630456936,63.225219616,0.192728758,-0.014629637,1,1,0,1,7
alloc201-m0.5,2-0-1,0.5,9,0,infeasible,,,,,,0.012243278,0.012973309,,,,,,,
alloc210-m0.15,2-1-0,0.15,9,9,node limit,8000.0,0.445320856,6.425164503,0.15,1,68.036650572,68.212458878,-0.068916468,-0.233292156,7,7,4,6,16
alloc210-m0.35,2-1-0,0.35,9,9,node limit,8000.0,0.601846798,10.437761169,0.35,1,46.523473178,48.864375654,0.069014004,-0.117003343,1,1,1,0,12
alloc210-m0.45,2-1-0,0.45,9,9,node limit,8000.0,0.614960233,13.541719903,0.45,1,56.297551686,58.341102672,0.206273285,0.06532792,0,0,0,0,4
alloc210-m0.5,2-1-0,0.5,9,0,infeasible,,,,,,0.011665923,0.012804039,,,,,,,
