t,x,y,z,roll,pitch,yaw,v
0.000000,-19.178141,-5.488460,0.205370,-0.033581,0.010440,-0.165521,0.000000
0.016667,-19.175823,-5.488718,0.205342,-0.033640,0.010533,-0.164019,0.139908
0.033333,-19.173338,-5.488799,0.205177,-0.033426,0.010674,-0.165171,0.149195
0.050000,-19.169905,-5.488535,0.205073,-0.033371,0.010800,-0.167781,0.206598
0.066667,-19.166204,-5.488046,0.205098,-0.033798,0.011068,-0.171891,0.223951
0.083333,-19.161589,-5.487514,0.205406,-0.034738,0.011720,-0.175748,0.278781
0.100000,-19.156284,-5.486465,0.204629,-0.032709,0.011791,-0.180176,0.324425
0.116667,-19.150372,-5.485800,0.204315,-0.031419,0.012492,-0.183996,0.357002
0.133333,-19.143953,-5.484575,0.203670,-0.028018,0.012977,-0.187833,0.392040
0.150000,-19.137333,-5.483988,0.203365,-0.026221,0.013380,-0.191251,0.398785
0.166667,-19.130041,-5.483803,0.202999,-0.023257,0.014892,-0.192754,0.437648
0.183333,-19.122263,-5.483840,0.202775,-0.021539,0.015111,-0.194892,0.466695
0.200000,-19.114250,-5.484476,0.202828,-0.021375,0.015551,-0.196627,0.482277
0.216667,-19.106461,-5.485491,0.203240,-0.022382,0.015997,-0.198635,0.471329
0.233333,-19.098207,-5.485974,0.202703,-0.021621,0.015517,-0.201351,0.496033
0.250000,-19.089691,-5.489655,0.204002,-0.028878,0.014775,-0.201773,0.556683
0.266667,-19.080347,-5.491126,0.203149,-0.026712,0.014745,-0.201168,0.567547
0.283333,-19.071098,-5.494057,0.203670,-0.030156,0.014424,-0.201160,0.582125
0.300000,-19.061878,-5.496229,0.204059,-0.031597,0.014513,-0.200924,0.568343
0.316667,-19.052710,-5.498363,0.204338,-0.033491,0.014137,-0.201405,0.564826
0.333333,-19.043625,-5.500283,0.204176,-0.034611,0.013424,-0.202339,0.557125
0.350000,-19.034624,-5.501700,0.203679,-0.033608,0.013874,-0.202504,0.546700
0.366667,-19.025471,-5.504094,0.203912,-0.035715,0.013382,-0.202862,0.567671
0.383333,-19.016308,-5.506231,0.204018,-0.036717,0.013950,-0.202757,0.564531
0.400000,-19.007559,-5.507976,0.204353,-0.038340,0.014459,-0.203915,0.535277
0.416667,-18.998180,-5.509693,0.204015,-0.038287,0.013864,-0.204503,0.572060
0.433333,-18.988945,-5.511429,0.203548,-0.037806,0.013911,-0.204652,0.563829
0.450000,-18.979414,-5.513760,0.203465,-0.038498,0.013956,-0.203803,0.588713
0.466667,-18.970163,-5.515980,0.203851,-0.039713,0.014271,-0.204079,0.570800
0.483333,-18.961124,-5.517406,0.203475,-0.038321,0.014959,-0.204443,0.549036
0.500000,-18.952019,-5.519077,0.203230,-0.038373,0.014792,-0.204935,0.555473
0.516667,-18.942791,-5.521583,0.203247,-0.041236,0.013870,-0.205284,0.573715
