obstacle_density,max_slope_deg,friction_static,friction_dynamic,restitution,height_scale,rocks_per_m2,encounters_per_m,p_encounter,mean_free_path_m,progress_fraction,grade_mean_deg,grade_p90_deg,no_slip_margin,slip_share,relief,attitude,contestedness,traversability,RR.1,RR.2,RR.3,feasible,on_frontier
0.1,12.5,0.4,0.3,0.0,0.176271,0.029382,0.066111,0.695775,18.805868,0.643593,4.058731,9.898225,0.225504,0.0,0.202395,1.0,0.29939,0.643593,1,1,1,1,1
0.1,12.5,0.5,0.4,0.0,0.176271,0.029382,0.066111,0.695775,18.805868,0.643593,4.058731,9.898225,0.325504,0.0,0.202395,1.0,0.29939,0.643593,1,1,1,1,1
0.1,12.5,0.6,0.5,0.0,0.176271,0.029382,0.066111,0.695775,18.805868,0.643593,4.058731,9.898225,0.425504,0.0,0.202395,1.0,0.29939,0.643593,1,1,1,1,1
0.1,12.5,0.7,0.6,0.0,0.176271,0.029382,0.066111,0.695775,18.805868,0.643593,4.058731,9.898225,0.525504,0.0,0.202395,1.0,0.29939,0.643593,1,1,1,1,1
0.1,12.5,0.8,0.7,0.0,0.176271,0.029382,0.066111,0.695775,18.805868,0.643593,4.058731,9.898225,0.625504,0.0,0.202395,1.0,0.29939,0.643593,1,1,1,1,1
0.1,12.5,0.9,0.8,0.0,0.176271,0.029382,0.066111,0.695775,18.805868,0.643593,4.058731,9.898225,0.725504,0.0,0.202395,1.0,0.29939,0.643593,1,1,1,1,1
0.1,12.5,1.0,0.9,0.0,0.176271,0.029382,0.066111,0.695775,18.805868,0.643593,4.058731,9.898225,0.825504,0.0,0.202395,1.0,0.29939,0.643593,1,1,1,1,1
0.1,15.0,0.5,0.4,0.0,0.213048,0.029382,0.066111,0.695775,18.805868,0.643593,4.886207,11.909322,0.289097,0.0,0.242113,0.998454,0.312629,0.642598,1,1,1,1,1
0.1,15.0,0.6,0.5,0.0,0.213048,0.029382,0.066111,0.695775,18.805868,0.643593,4.886207,11.909322,0.389097,0.0,0.242113,0.998454,0.312629,0.642598,1,1,1,1,1
0.1,15.0,0.7,0.6,0.0,0.213048,0.029382,0.066111,0.695775,18.805868,0.643593,4.886207,11.909322,0.489097,0.0,0.242113,0.998454,0.312629,0.642598,1,1,1,1,1
0.1,15.0,0.8,0.7,0.0,0.213048,0.029382,0.066111,0.695775,18.805868,0.643593,4.886207,11.909322,0.589097,0.0,0.242113,0.998454,0.312629,0.642598,1,1,1,1,1
0.1,15.0,0.9,0.8,0.0,0.213048,0.029382,0.066111,0.695775,18.805868,0.643593,4.886207,11.909322,0.689097,0.0,0.242113,0.998454,0.312629,0.642598,1,1,1,1,1
0.1,15.0,1.0,0.9,0.0,0.213048,0.029382,0.066111,0.695775,18.805868,0.643593,4.886207,11.909322,0.789097,0.0,0.242113,0.998454,0.312629,0.642598,1,1,1,1,1
0.1,15.0,0.4,0.3,0.0,0.213048,0.029382,0.066111,0.695775,18.805868,0.643593,4.886207,11.909322,0.189097,0.001881,0.242113,0.998454,0.313256,0.64139,1,1,1,1,1
0.1,17.5,0.6,0.5,0.0,0.250696,0.029382,0.066111,0.695775,18.805868,0.643593,5.722859,13.937619,0.351828,0.0,0.279733,0.994354,0.325169,0.639959,1,1,1,1,1
0.1,17.5,0.7,0.6,0.0,0.250696,0.029382,0.066111,0.695775,18.805868,0.643593,5.722859,13.937619,0.451828,0.0,0.279733,0.994354,0.325169,0.639959,1,1,1,1,1
0.1,17.5,0.8,0.7,0.0,0.250696,0.029382,0.066111,0.695775,18.805868,0.643593,5.722859,13.937619,0.551828,0.0,0.279733,0.994354,0.325169,0.639959,1,1,1,1,1
0.1,17.5,0.9,0.8,0.0,0.250696,0.029382,0.066111,0.695775,18.805868,0.643593,5.722859,13.937619,0.651828,0.0,0.279733,0.994354,0.325169,0.639959,1,1,1,1,1
0.1,17.5,1.0,0.9,0.0,0.250696,0.029382,0.066111,0.695775,18.805868,0.643593,5.722859,13.937619,0.751828,0.0,0.279733,0.994354,0.325169,0.639959,1,1,1,1,1
0.1,17.5,0.5,0.4,0.0,0.250696,0.029382,0.066111,0.695775,18.805868,0.643593,5.722859,13.937619,0.251828,0.000371,0.279733,0.994354,0.325293,0.639722,1,1,1,1,1
0.1,20.0,0.6,0.5,0.0,0.289395,0.029382,0.066111,0.695775,18.805868,0.643593,6.570705,15.986012,0.313519,0.0,0.315355,0.987697,0.337044,0.635675,1,1,1,1,1
0.1,20.0,0.7,0.6,0.0,0.289395,0.029382,0.066111,0.695775,18.805868,0.643593,6.570705,15.986012,0.413519,0.0,0.315355,0.987697,0.337044,0.635675,1,1,1,1,1
0.1,20.0,0.8,0.7,0.0,0.289395,0.029382,0.066111,0.695775,18.805868,0.643593,6.570705,15.986012,0.513519,0.0,0.315355,0.987697,0.337044,0.635675,1,1,1,1,1
