obstacle_density,max_slope_deg,friction_static,friction_dynamic,restitution,height_scale,rocks_per_m2,encounters_per_m,p_encounter,mean_free_path_m,progress_fraction,grade_mean_deg,grade_p90_deg,no_slip_margin,slip_share,relief,attitude,contestedness,traversability,RR.1,RR.2,RR.3,feasible,on_frontier
0.05,5.0,0.3,0.2,0.0,0.069563,0.014691,0.033055,0.448434,37.611737,0.794723,1.613854,3.939305,0.231138,0.0,0.080477,1.0,0.176304,0.794723,1,0,1,0,0
0.05,5.0,0.3,0.2,0.1,0.069563,0.014691,0.033055,0.448434,37.611737,0.794703,1.613854,3.939305,0.231138,0.0,0.080477,1.0,0.176304,0.794703,1,0,1,0,0
0.05,5.0,0.3,0.2,0.3,0.069563,0.014691,0.033055,0.448434,37.611737,0.794548,1.613854,3.939305,0.231138,0.0,0.080477,1.0,0.176304,0.794548,1,0,1,0,0
0.05,5.0,0.4,0.3,0.0,0.069563,0.014691,0.033055,0.448434,37.611737,0.794723,1.613854,3.939305,0.331138,0.0,0.080477,1.0,0.176304,0.794723,1,0,1,0,0
0.05,5.0,0.4,0.3,0.1,0.069563,0.014691,0.033055,0.448434,37.611737,0.79471,1.613854,3.939305,0.331138,0.0,0.080477,1.0,0.176304,0.79471,1,0,1,0,0
0.05,5.0,0.4,0.3,0.3,0.069563,0.014691,0.033055,0.448434,37.611737,0.794606,1.613854,3.939305,0.331138,0.0,0.080477,1.0,0.176304,0.794606,1,0,1,0,0
0.05,5.0,0.5,0.4,0.0,0.069563,0.014691,0.033055,0.448434,37.611737,0.794723,1.613854,3.939305,0.431138,0.0,0.080477,1.0,0.176304,0.794723,1,0,1,0,0
0.05,5.0,0.5,0.4,0.1,0.069563,0.014691,0.033055,0.448434,37.611737,0.794713,1.613854,3.939305,0.431138,0.0,0.080477,1.0,0.176304,0.794713,1,0,1,0,0
0.05,5.0,0.5,0.4,0.3,0.069563,0.014691,0.033055,0.448434,37.611737,0.794635,1.613854,3.939305,0.431138,0.0,0.080477,1.0,0.176304,0.794635,1,0,1,0,0
0.05,5.0,0.6,0.5,0.0,0.069563,0.014691,0.033055,0.448434,37.611737,0.794723,1.613854,3.939305,0.531138,0.0,0.080477,1.0,0.176304,0.794723,1,0,1,0,0
0.05,5.0,0.6,0.5,0.1,0.069563,0.014691,0.033055,0.448434,37.611737,0.794715,1.613854,3.939305,0.531138,0.0,0.080477,1.0,0.176304,0.794715,1,0,1,0,0
0.05,5.0,0.6,0.5,0.3,0.069563,0.014691,0.033055,0.448434,37.611737,0.794653,1.613854,3.939305,0.531138,0.0,0.080477,1.0,0.176304,0.794653,1,0,1,0,0
0.05,5.0,0.7,0.6,0.0,0.069563,0.014691,0.033055,0.448434,37.611737,0.794723,1.613854,3.939305,0.631138,0.0,0.080477,1.0,0.176304,0.794723,1,0,1,0,0
0.05,5.0,0.7,0.6,0.1,0.069563,0.014691,0.033055,0.448434,37.611737,0.794716,1.613854,3.939305,0.631138,0.0,0.080477,1.0,0.176304,0.794716,1,0,1,0,0
0.05,5.0,0.7,0.6,0.3,0.069563,0.014691,0.033055,0.448434,37.611737,0.794664,1.613854,3.939305,0.631138,0.0,0.080477,1.0,0.176304,0.794664,1,0,1,0,0
0.05,5.0,0.8,0.7,0.0,0.069563,0.014691,0.033055,0.448434,37.611737,0.794723,1.613854,3.939305,0.731138,0.0,0.080477,1.0,0.176304,0.794723,1,0,1,0,0
0.05,5.0,0.8,0.7,0.1,0.069563,0.014691,0.033055,0.448434,37.611737,0.794717,1.613854,3.939305,0.731138,0.0,0.080477,1.0,0.176304,0.794717,1,0,1,0,0
