design,environment,experiment_id,trial_id,state,wall_seconds,clutter,visibility,seed,n_draws,n_rocks,success_rate,collision_rate,time_to_goal,tortuosity,detection_distance,battery_soc,path_length,detection_rate,stall_rate,replans,cost,power,ram
design-2185,c0.2-v0.4-s1,59,59,TrialState.SUCCESSFUL|SHUT_DOWN,1.000966,0.2,0.4,1,12,21,1.0,0.0,37.234019,1.032487,16.58207,0.92305,37.234019,0.960317,0.0,8,19000.0,124.000161,7967.4
design-2185,c0.2-v0.4-s2,60,60,TrialState.SUCCESSFUL|SHUT_DOWN,1.001338,0.2,0.4,2,12,21,1.0,0.0,39.814601,1.104046,16.503362,0.917716,39.814601,0.996032,0.0,9,19000.0,124.000161,7967.4
design-2185,c0.2-v0.4-s3,61,61,TrialState.SUCCESSFUL|SHUT_DOWN,1.001001,0.2,0.4,3,12,21,1.0,0.0,37.234019,1.032487,16.362501,0.92305,37.234019,0.97619,0.0,8,19000.0,124.000161,7967.4
design-2185,c0.2-v1.0-s1,56,56,TrialState.SUCCESSFUL|SHUT_DOWN,1.001792,0.2,1.0,1,12,21,1.0,0.0,37.234019,1.032487,18.633312,0.92305,37.234019,0.964286,0.0,8,19000.0,124.000161,7967.4
design-2185,c0.2-v1.0-s2,57,57,TrialState.SUCCESSFUL|SHUT_DOWN,1.001168,0.2,1.0,2,12,21,1.0,0.0,39.461048,1.094242,18.646553,0.918447,39.461048,0.992063,0.0,9,19000.0,124.000161,7967.4
design-2185,c0.2-v1.0-s3,58,58,TrialState.SUCCESSFUL|SHUT_DOWN,1.001404,0.2,1.0,3,12,21,1.0,0.0,37.234019,1.032487,18.231861,0.92305,37.234019,0.980159,0.0,8,19000.0,124.000161,7967.4
design-2185,c0.5-v0.4-s1,65,65,TrialState.SUCCESSFUL|SHUT_DOWN,1.000747,0.5,0.4,1,12,34,1.0,0.0,37.234019,1.032487,16.688763,0.92305,37.234019,0.968137,0.0,7,19000.0,124.000161,7967.4
design-2185,c0.5-v0.4-s2,66,66,TrialState.SUCCESSFUL|SHUT_DOWN,1.001676,0.5,0.4,2,12,34,1.0,0.0,38.991378,1.081218,15.643671,0.919418,38.991378,0.97549,0.0,8,19000.0,124.000161,7967.4
design-2185,c0.5-v0.4-s3,67,67,TrialState.SUCCESSFUL|SHUT_DOWN,1.000919,0.5,0.4,3,12,34,1.0,0.0,37.819805,1.048731,16.529817,0.921839,37.819805,0.960784,0.0,7,19000.0,124.000161,7967.4
design-2185,c0.5-v1.0-s1,62,62,TrialState.SUCCESSFUL|SHUT_DOWN,1.001585,0.5,1.0,1,12,34,1.0,0.0,37.234019,1.032487,18.893334,0.92305,37.234019,0.968137,0.0,7,19000.0,124.000161,7967.4
design-2185,c0.5-v1.0-s2,63,63,TrialState.SUCCESSFUL|SHUT_DOWN,1.001418,0.5,1.0,2,12,34,1.0,0.0,38.991378,1.081218,17.952552,0.919418,38.991378,0.982843,0.0,8,19000.0,124.000161,7967.4
design-2185,c0.5-v1.0-s3,64,64,TrialState.SUCCESSFUL|SHUT_DOWN,1.001067,0.5,1.0,3,12,34,1.0,0.0,37.819805,1.048731,18.354403,0.921839,37.819805,0.965686,0.0,7,19000.0,124.000161,7967.4
design-2185,c0.8-v0.4-s1,71,71,TrialState.SUCCESSFUL|SHUT_DOWN,1.001273,0.8,0.4,1,12,46,1.0,0.0,43.748737,1.213138,16.566226,0.909586,43.748737,0.963768,0.0,11,19000.0,124.000161,7967.4
design-2185,c0.8-v0.4-s2,72,72,TrialState.SUCCESSFUL|SHUT_DOWN,1.001106,0.8,0.4,2,12,44,0.833333,0.166667,56.179702,1.557845,16.633632,0.883895,56.179702,0.909091,0.0,9,19000.0,124.000161,7967.4
design-2185,c0.8-v0.4-s3,73,73,TrialState.SUCCESSFUL|SHUT_DOWN,1.002482,0.8,0.4,3,12,46,1.0,0.0,46.213203,1.281477,16.607017,0.904493,46.213203,0.978261,0.0,11,19000.0,124.000161,7967.4
design-2185,c0.8-v1.0-s1,68,68,TrialState.SUCCESSFUL|SHUT_DOWN,1.001407,0.8,1.0,1,12,46,1.0,0.0,43.748737,1.213138,19.009343,0.909586,43.748737,0.971014,0.0,9,19000.0,124.000161,7967.4
design-2185,c0.8-v1.0-s2,69,69,TrialState.SUCCESSFUL|SHUT_DOWN,1.001948,0.8,1.0,2,12,44,1.0,0.0,43.698485,1.211745,18.79834,0.90969,43.698485,1.0,0.0,7,19000.0,124.000161,7967.4
