design,environment,success_rate,collision_rate,time_to_goal,tortuosity,detection_distance,battery_soc
design-2185,c0.2-v0.4-s1,1.0,0.0,37.234019,1.032487,16.58207,0.92305
design-2185,c0.2-v0.4-s2,1.0,0.0,39.814601,1.104046,16.503362,0.917716
design-2185,c0.2-v0.4-s3,1.0,0.0,37.234019,1.032487,16.362501,0.92305
design-2185,c0.2-v1.0-s1,1.0,0.0,37.234019,1.032487,18.633312,0.92305
design-2185,c0.2-v1.0-s2,1.0,0.0,39.461048,1.094242,18.646553,0.918447
design-2185,c0.2-v1.0-s3,1.0,0.0,37.234019,1.032487,18.231861,0.92305
design-2185,c0.5-v0.4-s1,1.0,0.0,37.234019,1.032487,16.688763,0.92305
design-2185,c0.5-v0.4-s2,1.0,0.0,38.991378,1.081218,15.643671,0.919418
design-2185,c0.5-v0.4-s3,1.0,0.0,37.819805,1.048731,16.529817,0.921839
design-2185,c0.5-v1.0-s1,1.0,0.0,37.234019,1.032487,18.893334,0.92305
design-2185,c0.5-v1.0-s2,1.0,0.0,38.991378,1.081218,17.952552,0.919418
design-2185,c0.5-v1.0-s3,1.0,0.0,37.819805,1.048731,18.354403,0.921839
design-2185,c0.8-v0.4-s1,1.0,0.0,43.748737,1.213138,16.566226,0.909586
design-2185,c0.8-v0.4-s2,0.833333,0.166667,56.179702,1.557845,16.633632,0.883895
design-2185,c0.8-v0.4-s3,1.0,0.0,46.213203,1.281477,16.607017,0.904493
design-2185,c0.8-v1.0-s1,1.0,0.0,43.748737,1.213138,19.009343,0.909586
design-2185,c0.8-v1.0-s2,1.0,0.0,43.698485,1.211745,18.79834,0.90969
design-2185,c0.8-v1.0-s3,1.0,0.0,45.944718,1.274032,18.617994,0.905047
design-4,c0.2-v0.4-s1,0.0,1.0,120.0,3.327561,2.139376,0.98
design-4,c0.2-v0.4-s2,0.0,1.0,120.0,3.327561,2.12579,0.98
design-4,c0.2-v0.4-s3,0.0,1.0,120.0,3.327561,1.736462,0.98
design-4,c0.2-v1.0-s1,1.0,0.0,37.234019,1.032487,5.714563,0.993794
design-4,c0.2-v1.0-s2,1.0,0.0,40.405592,1.120434,5.356006,0.993266
design-4,c0.2-v1.0-s3,1.0,0.0,37.234019,1.032487,5.744961,0.993794
design-4,c0.5-v0.4-s1,0.0,1.0,120.0,3.327561,2.139376,0.98
design-4,c0.5-v0.4-s2,0.0,1.0,120.0,3.327561,2.005615,0.98
design-4,c0.5-v0.4-s3,0.0,1.0,120.0,3.327561,0.0,0.98
design-4,c0.5-v1.0-s1,1.0,0.0,38.698485,1.073097,5.671451,0.99355
design-4,c0.5-v1.0-s2,1.0,0.0,38.991378,1.081218,5.094269,0.993501
design-4,c0.5-v1.0-s3,1.0,0.0,38.234019,1.060217,5.434422,0.993628
design-4,c0.8-v0.4-s1,0.0,1.0,120.0,3.327561,2.139376,0.98
design-4,c0.8-v0.4-s2,0.0,1.0,120.0,3.327561,2.061533,0.98
design-4,c0.8-v0.4-s3,0.0,1.0,120.0,3.327561,1.736462,0.98
design-4,c0.8-v1.0-s1,1.0,0.0,43.577164,1.208381,5.328032,0.992737
design-4,c0.8-v1.0-s2,0.916667,0.083333,53.140575,1.473571,5.421464,0.991143
design-4,c0.8-v1.0-s3,0.0,1.0,120.0,3.327561,5.324291,0.98
design-4234,c0.2-v0.4-s1,1.0,0.0,37.234019,1.032487,13.920096,0.924911
design-4234,c0.2-v0.4-s2,1.0,0.0,39.991378,1.108948,13.892746,0.919351
design-4234,c0.2-v0.4-s3,1.0,0.0,37.234019,1.032487,13.911337,0.924911
design-4234,c0.2-v1.0-s1,1.0,0.0,37.234019,1.032487,17.247084,0.924911
design-4234,c0.2-v1.0-s2,1.0,0.0,39.461048,1.094242,16.968764,0.92042
design-4234,c0.2-v1.0-s3,1.0,0.0,37.234019,1.032487,16.958267,0.924911
design-4234,c0.5-v0.4-s1,1.0,0.0,37.478096,1.039256,13.906843,0.924419
design-4234,c0.5-v0.4-s2,1.0,0.0,38.991378,1.081218,12.774181,0.921367
design-4234,c0.5-v0.4-s3,1.0,0.0,37.819805,1.048731,13.94859,0.92373
design-4234,c0.5-v1.0-s1,1.0,0.0,37.258426,1.033164,17.03657,0.924862
design-4234,c0.5-v1.0-s2,1.0,0.0,38.991378,1.081218,15.724919,0.921367
design-4234,c0.5-v1.0-s3,1.0,0.0,37.819805,1.048731,16.513608,0.92373
design-4234,c0.8-v0.4-s1,1.0,0.0,43.748737,1.213138,13.966393,0.911773
design-4234,c0.8-v0.4-s2,0.833333,0.166667,56.179702,1.557845,14.134318,0.886704
design-4234,c0.8-v0.4-s3,1.0,0.0,46.454828,1.288177,14.00499,0.906316
design-4234,c0.8-v1.0-s1,1.0,0.0,43.748737,1.213138,17.297098,0.911773
design-4234,c0.8-v1.0-s2,1.0,0.0,43.698485,1.211745,16.902448,0.911875
design-4234,c0.8-v1.0-s3,1.0,0.0,46.213203,1.281477,16.858867,0.906803
design-4370,c0.2-v0.4-s1,1.0,0.0,37.234019,1.032487,13.920978,0.924911
design-4370,c0.2-v0.4-s2,1.0,0.0,39.991378,1.108948,13.892746,0.919351
design-4370,c0.2-v0.4-s3,1.0,0.0,37.234019,1.032487,13.906314,0.924911
design-4370,c0.2-v1.0-s1,1.0,0.0,37.234019,1.032487,17.255815,0.924911
design-4370,c0.2-v1.0-s2,1.0,0.0,39.637825,1.099144,17.022734,0.920064
design-4370,c0.2-v1.0-s3,1.0,0.0,37.234019,1.032487,16.953306,0.924911
design-4370,c0.5-v0.4-s1,1.0,0.0,37.478096,1.039256,13.895804,0.924419
design-4370,c0.5-v0.4-s2,1.0,0.0,38.991378,1.081218,12.772814,0.921367
design-4370,c0.5-v0.4-s3,1.0,0.0,37.819805,1.048731,13.947638,0.92373
design-4370,c0.5-v1.0-s1,1.0,0.0,37.258426,1.033164,17.029618,0.924862
design-4370,c0.5-v1.0-s2,1.0,0.0,38.991378,1.081218,15.723828,0.921367
design-4370,c0.5-v1.0-s3,1.0,0.0,37.819805,1.048731,16.512674,0.92373
design-4370,c0.8-v0.4-s1,1.0,0.0,43.748737,1.213138,13.95843,0.911773
design-4370,c0.8-v0.4-s2,0.666667,0.333333,69.132323,1.917017,13.992094,0.860583
design-4370,c0.8-v0.4-s3,1.0,0.0,46.454828,1.288177,14.003273,0.906316
design-4370,c0.8-v1.0-s1,1.0,0.0,43.748737,1.213138,17.293553,0.911773
design-4370,c0.8-v1.0-s2,1.0,0.0,44.052038,1.221549,16.989974,0.911162
design-4370,c0.8-v1.0-s3,1.0,0.0,46.213203,1.281477,16.870929,0.906803
design-512,c0.2-v0.4-s1,1.0,0.0,37.234019,1.032487,13.328043,0.937943
design-512,c0.2-v0.4-s2,0.833333,0.166667,53.090446,1.472181,12.637916,0.911516
design-512,c0.2-v0.4-s3,1.0,0.0,37.234019,1.032487,12.919384,0.937943
design-512,c0.2-v1.0-s1,1.0,0.0,37.234019,1.032487,13.328043,0.937943
design-512,c0.2-v1.0-s2,0.833333,0.166667,53.090446,1.472181,12.637916,0.911516
design-512,c0.2-v1.0-s3,1.0,0.0,37.234019,1.032487,12.919384,0.937943
design-512,c0.5-v0.4-s1,1.0,0.0,37.917436,1.051438,12.839922,0.936804
design-512,c0.5-v0.4-s2,0.833333,0.166667,52.492815,1.455609,11.780257,0.912512
design-512,c0.5-v0.4-s3,1.0,0.0,37.819805,1.048731,12.632832,0.936967
design-512,c0.5-v1.0-s1,1.0,0.0,37.917436,1.051438,12.839922,0.936804
design-512,c0.5-v1.0-s2,0.833333,0.166667,52.492815,1.455609,11.780257,0.912512
design-512,c0.5-v1.0-s3,1.0,0.0,37.819805,1.048731,12.632832,0.936967
design-512,c0.8-v0.4-s1,1.0,0.0,43.748737,1.213138,13.171122,0.927085
design-512,c0.8-v0.4-s2,0.25,0.75,101.101398,2.803509,12.789347,0.831498
design-512,c0.8-v0.4-s3,1.0,0.0,47.179702,1.308278,12.812019,0.921367
design-512,c0.8-v1.0-s1,1.0,0.0,43.748737,1.213138,13.171122,0.927085
design-512,c0.8-v1.0-s2,0.25,0.75,101.101398,2.803509,12.789347,0.831498
design-512,c0.8-v1.0-s3,1.0,0.0,47.179702,1.308278,12.812019,0.921367
design-549,c0.2-v0.4-s1,1.0,0.0,37.234019,1.032487,16.852239,0.896986
design-549,c0.2-v0.4-s2,1.0,0.0,39.814601,1.104046,16.709,0.889846
design-549,c0.2-v0.4-s3,1.0,0.0,37.234019,1.032487,16.618174,0.896986
design-549,c0.2-v1.0-s1,1.0,0.0,37.234019,1.032487,18.776433,0.896986
design-549,c0.2-v1.0-s2,1.0,0.0,39.461048,1.094242,18.66738,0.890824
design-549,c0.2-v1.0-s3,1.0,0.0,37.234019,1.032487,18.425722,0.896986
design-549,c0.5-v0.4-s1,1.0,0.0,37.234019,1.032487,16.925901,0.896986
design-549,c0.5-v0.4-s2,1.0,0.0,38.991378,1.081218,15.791657,0.892124
design-549,c0.5-v0.4-s3,1.0,0.0,37.819805,1.048731,16.720412,0.895365
design-549,c0.5-v1.0-s1,1.0,0.0,37.234019,1.032487,18.975381,0.896986
design-549,c0.5-v1.0-s2,1.0,0.0,38.991378,1.081218,17.966134,0.892124
