design,mavf_rank,mavf_score,mbo_only_rank,mbo_only_score,cost,power,ram,success_rate,collision_rate,time_to_goal,tortuosity,detection_distance,battery_soc
design-4370,1,0.673241,6,0.286053,14500.0,121.000073,7036.65,0.981481,0.018519,41.681891,1.155825,15.33014,0.915941
design-4234,2,0.669578,7,0.242387,15500.0,121.000106,7698.15,0.990741,0.009259,40.932838,1.135054,15.331507,0.917452
design-2185,3,0.663296,8,0.169109,19000.0,124.000161,7967.4,0.990741,0.009259,40.879762,1.133583,17.514153,0.915515
design-512,4,0.662589,4,0.596881,16000.0,100.000003,139.968,0.87963,0.12037,49.757597,1.379762,12.767872,0.917071
frontier-1,5,0.657177,2,0.739316,10000.0,80.000001,33.75,0.824074,0.175926,54.378094,1.507887,11.162581,0.927496
frontier-3,6,0.646239,3,0.615326,15000.0,100.000002,78.732,0.861111,0.138889,51.325477,1.423239,12.423219,0.914458
design-785,7,0.628599,9,0.103188,22000.0,144.00013,7385.868,0.990741,0.009259,40.875132,1.133454,17.671746,0.9019
frontier-38,8,0.621741,5,0.535162,16000.0,130.000002,83.232,0.888889,0.111111,49.044089,1.359977,12.480252,0.893738
design-549,9,0.601878,10,0.072872,24000.0,166.00017,6232.968,0.990741,0.009259,40.865311,1.133182,17.670403,0.886939
design-4,10,0.390891,1,0.903405,3000.0,10.000064,2332.8,0.439815,0.560185,84.861958,2.353195,3.620747,0.985856
