design,environment,trials,failures,failure_rate,clopper_pearson_lo,clopper_pearson_hi,clopper_pearson_upper,wilson_lo,wilson_hi,trials_for_target,rho_n,rho_mean,rho_min,rho_violated,rho_quantile,rho_quantile_dkw
alloc012-m0.15,all,9,8,0.8888888888888888,0.517503485082663,0.9971908632534008,0.9943169550119519,0.5650002944233438,0.980109112361455,286,9,-0.09700264338651227,-0.15480184028253374,0.8888888888888888,-0.15107688292553983,-inf
alloc012-m0.35,all,9,2,0.2222222222222222,0.028144973477898197,0.6000935737163122,0.5496416495066101,0.06322510711784671,0.5474110308930111,124,9,0.09260359919543708,-0.09205408278273808,0.2222222222222222,-0.05891810553683783,-inf
alloc012-m0.45,all,9,0,0.0,0.0,0.3362671168799429,0.2831288355631135,2.7755575615628914e-17,0.29914504841954415,59,9,0.20718666106857683,0.10169439897552301,0.0,0.10565274062385069,-inf
alloc021-m0.15,all,9,6,0.6666666666666666,0.29929505620854036,0.9251453685803082,0.9022531865607243,0.3542021355803961,0.879416181613089,234,9,-0.057867830914663805,-0.14542283670976985,0.6666666666666666,-0.13786118695327892,-inf
alloc021-m0.35,all,9,1,0.1111111111111111,0.0028091367465992146,0.4824965149173371,0.42913554703143447,0.019890887638544935,0.4349997055766561,93,9,0.144173819922637,-0.03456029389538351,0.1111111111111111,-0.005942680480818651,-inf
alloc021-m0.45,all,9,0,0.0,0.0,0.3362671168799429,0.2831288355631135,2.7755575615628914e-17,0.29914504841954415,59,9,0.23578162569096728,0.09878700412845598,0.0,0.1316549201570088,-inf
alloc102-m0.15,all,9,8,0.8888888888888888,0.517503485082663,0.9971908632534008,0.9943169550119519,0.5650002944233438,0.980109112361455,286,9,-0.09285636273863214,-0.23329215554539484,0.8888888888888888,-0.21192349625745788,-inf
alloc102-m0.35,all,9,0,0.0,0.0,0.3362671168799429,0.2831288355631135,2.7755575615628914e-17,0.29914504841954415,59,9,0.13465699238902035,0.012666872525218142,0.0,0.02361660684874094,-inf
alloc102-m0.45,all,9,0,0.0,0.0,0.3362671168799429,0.2831288355631135,2.7755575615628914e-17,0.29914504841954415,59,9,0.20988932593584242,0.06543970610461614,0.0,0.07452403293725887,-inf
alloc120-m0.15,all,9,9,1.0,0.6637328831200572,1.0,1.0,0.7008549515804557,0.9999999999999999,311,9,-0.173234462156355,-0.38897759858893766,1.0,-0.3696615804248807,-inf
alloc120-m0.35,all,9,1,0.1111111111111111,0.0028091367465992146,0.4824965149173371,0.42913554703143447,0.019890887638544935,0.4349997055766561,93,9,0.11835576385597883,-0.10095956585701904,0.1111111111111111,-0.055184886425341605,-inf
alloc120-m0.45,all,9,0,0.0,0.0,0.3362671168799429,0.2831288355631135,2.7755575615628914e-17,0.29914504841954415,59,9,0.21901123868110264,0.0013028436295670076,0.0,0.046172559266610236,-inf
alloc201-m0.15,all,9,6,0.6666666666666666,0.29929505620854036,0.9251453685803082,0.9022531865607243,0.3542021355803961,0.879416181613089,234,9,-0.04329646597938012,-0.1265187123185414,0.6666666666666666,-0.11532268551534086,-inf
alloc201-m0.35,all,9,2,0.2222222222222222,0.028144973477898197,0.6000935737163122,0.5496416495066101,0.06322510711784671,0.5474110308930111,124,9,0.0777916888969003,-0.0756893291345575,0.2222222222222222,-0.06083846275464886,-inf
alloc201-m0.45,all,9,1,0.1111111111111111,0.0028091367465992146,0.4824965149173371,0.42913554703143447,0.019890887638544935,0.4349997055766561,93,9,0.19272875782285304,-0.01462963676008644,0.1111111111111111,0.027550471877994864,-inf
alloc210-m0.15,all,9,7,0.7777777777777778,0.39990642628368783,0.9718550265221018,0.9589768324930035,0.45258896910698887,0.9367748928821533,260,9,-0.06891646823467044,-0.23329215554539484,0.7777777777777778,-0.20760925125167,-inf
alloc210-m0.35,all,9,1,0.1111111111111111,0.0028091367465992146,0.4824965149173371,0.42913554703143447,0.019890887638544935,0.4349997055766561,93,9,0.06901400360748965,-0.11700334265248102,0.1111111111111111,-0.0637229509855736,-inf
alloc210-m0.45,all,9,0,0.0,0.0,0.3362671168799429,0.2831288355631135,2.7755575615628914e-17,0.29914504841954415,59,9,0.2062732850482848,0.06532792009620803,0.0,0.06537263449957162,-inf
