design,environment,trials,failures,failure_rate,clopper_pearson_lo,clopper_pearson_hi,clopper_pearson_upper,wilson_lo,wilson_hi,trials_for_target
design-2185,all,18,1,0.05555555555555555,0.0014055561673694222,0.27294359967336856,0.2376609150746397,0.009875190978303083,0.257573007818726,93
design-4,all,18,11,0.6111111111111112,0.3574512058930626,0.8270141452102482,0.8010467041575083,0.386190416022379,0.7969475342783638,361
design-4234,all,18,1,0.05555555555555555,0.0014055561673694222,0.27294359967336856,0.2376609150746397,0.009875190978303083,0.257573007818726,93
design-4370,all,18,1,0.05555555555555555,0.0014055561673694222,0.27294359967336856,0.2376609150746397,0.009875190978303083,0.257573007818726,93
design-512,all,18,6,0.3333333333333333,0.13342740250612353,0.5900747618279256,0.5540455583593005,0.1627877475083369,0.562505327040549,234
design-549,all,18,1,0.05555555555555555,0.0014055561673694222,0.27294359967336856,0.2376609150746397,0.009875190978303083,0.257573007818726,93
design-785,all,18,1,0.05555555555555555,0.0014055561673694222,0.27294359967336856,0.2376609150746397,0.009875190978303083,0.257573007818726,93
frontier-1,all,18,10,0.5555555555555556,0.30757165899875616,0.7846984926127002,0.7560387508863271,0.33716415642042774,0.7544048187299437,336
frontier-3,all,18,8,0.4444444444444444,0.21530150738729983,0.6924283410012438,0.6594019352407129,0.2455951812700563,0.6628358435795723,286
frontier-38,all,18,8,0.4444444444444444,0.21530150738729983,0.6924283410012438,0.6594019352407129,0.2455951812700563,0.6628358435795723,286
